INSERT INTO "sefit_servidor" ("mat","nome","sexo","email") VALUES 
(234603,"Cesar de Oliveira Jr.","m","Srta.Joana@yahoo.com"),
(961595,"Tais Perola Santos Sobrinho","f","IanJuanGod@yahoo.com"),
(528032,"Sr. Adriel Furtado avila Sobrinho","m","Dr.HeitorF@gmail.com"),
(645332,"Mariah Teles","m","FelipeCort@yahoo.com"),
(142476,"Felipe Cortes","m","Sra.Perola@gmail.com"),
(625374,"Srta. Marina Santiago Neto","m","Srta.Palom@gmail.com"),
(59398,"Marina Molina","m","Sr.MateusA@yahoo.com"),
(1043953,"Srta. Naiara Rezende Benez","m","TaisPerola@yahoo.com"),
(234974,"Srta. Joana Toledo Neto","f","JosueRober@yahoo.com"),
(873612,"Nicolas Leandro Leon","f","ReinaldoDe@yahoo.com"),
(609054,"Sr. Guilherme Andres Abreu Jr.","f","Sr.IgorFab@gmail.com"),
(1037936,"Renato Franco Bonilha","m","Dr.Francod@yahoo.com"),
(986088,"Sr. Wagner Benedito Leon Jr.","f","Dr.IvanAra@gmail.com"),
(573387,"Wellington Beltrão Neto","m","EmilyGalin@yahoo.com"),
(357436,"Marcelo Theo Flores Sobrinho","m","FelipeCort@yahoo.com"),
(422250,"Srta. Laiane Ortega","f","Dr.JoãoGil@yahoo.com"),
(437487,"Tais Perola Santos Sobrinho","m","Dr.RenanAa@yahoo.com"),
(730738,"Nathalia Suzana Galvão Filho","m","Srta.Clari@gmail.com"),
(785999,"Srta. Olga Benez Carmona Sobrinho","f","PauloBrito@gmail.com"),
(462596,"Sr. Marcos Gustavo Rico","m","MariahTele@yahoo.com"),
(57879,"Sr. Mateus Azevedo Sobrinho","f","MirellaGus@gmail.com"),
(560432,"Dr. Tiago Maldonado","f","Dr.ErikdeS@gmail.com"),
(128592,"Dr. Tiago Maldonado","f","Dr.Samanta@gmail.com"),
(427016,"Constancia Regiane Soares","m","VictorBarr@yahoo.com"),
(266446,"Maya Flor Batista Jr.","f","PauloBrito@yahoo.com"),
(703786,"Luiza Casanova Jr.","m","Sr.Manueld@gmail.com"),
(678276,"Dr. Lucio Juan Godoi","m","Sr.DiegoGu@gmail.com"),
(341398,"Reinaldo Maldonado Brito","m","RaphaelFra@gmail.com"),
(767096,"Sr. Adriano avila Sobrinho","m","Srta.Heloi@gmail.com"),
(16698,"Melina Serna da Silva Jr.","m","KesiaGusmã@yahoo.com")

 COMMIT;
